SampleID,Influenza,IAV_level,Ct value,Genotype,HASubType,NASubType,HANASubType,Sex,Date,Location,Year,Description
UCD.12.02722.P,Neg,0,NA,NA,neg,neg,neg,M,09-Jul-12,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2012,Neg_2012_Anasplatyrhynchos
UCD.12.02723.P,Neg,0,NA,NA,neg,neg,neg,U,09-Jul-12,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2012,Neg_2012_Anasplatyrhynchos
UCD.12.02724.P,Neg,0,NA,NA,neg,neg,neg,M,09-Jul-12,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2012,Neg_2012_Anasplatyrhynchos
UCD.12.02725.P,Neg,0,NA,NA,neg,neg,neg,M,09-Jul-12,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2012,Neg_2012_Anasplatyrhynchos
UCD.12.02726.P,Neg,0,NA,NA,neg,neg,neg,F,09-Jul-12,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2012,Neg_2012_Anasplatyrhynchos
UCD.12.02727.P,Neg,0,NA,NA,neg,neg,neg,M,09-Jul-12,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2012,Neg_2012_Anasplatyrhynchos
UCD.12.02729.P,Neg,0,NA,NA,neg,neg,neg,F,09-Jul-12,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2012,Neg_2012_Anasplatyrhynchos
UCD.12.02730.P,Neg,0,NA,NA,neg,neg,neg,F,09-Jul-12,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2012,Neg_2012_Anasplatyrhynchos
UCD.12.02743.VB.H3,Pos,2,38.78,7,3,8,H3N8,F,09-Jul-12,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2012,Pos_2012_Anasplatyrhynchos
UCD.12.02744.VB.H3,Pos,2,35.55,7,3,8,H3N8,F,11-Jul-12,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2012,Pos_2012_Anasplatyrhynchos
UCD.12.02762.VA.H3,Pos,2,36.66,7,3,8,H3N8,F,11-Jul-12,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2012,Pos_2012_Anasplatyrhynchos
UCD.12.02783.VA.H3,Pos,2,39.92,9,3,8,H3N8,M,13-Jul-12,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2012,Pos_2012_Anasplatyrhynchos
UCD.12.02829.VA.H2,Pos,3,34.16,1,2,3,H2N3,M,16-Jul-12,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2012,Pos_2012_Anasplatyrhynchos
UCD.12.02833.VA.H2,Pos,3,33.41,1,2,3,H2N3,M,16-Jul-12,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2012,Pos_2012_Anasplatyrhynchos
UCD.12.02838.VB.H2,Pos,2,35.26,1,2,3,H2N3,M,16-Jul-12,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2012,Pos_2012_Anasplatyrhynchos
UCD.12.02839.VB.H2,Pos,3,30.7,2,2,3,H2N3,F,16-Jul-12,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2012,Pos_2012_Anasplatyrhynchos
UCD.12.02840.VB.H2,Pos,3,33.83,2,2,3,H2N3,M,16-Jul-12,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2012,Pos_2012_Anasplatyrhynchos
UCD.12.02841.VA.H2,Pos,1,40.36,2,2,3,H2N3,M,16-Jul-12,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2012,Pos_2012_Anasplatyrhynchos
UCD.12.02858.VB.H2,Pos,3,34.48,4,2,7,H2N7,M,18-Jul-12,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2012,Pos_2012_Anasplatyrhynchos
UCD.12.02867.VB.H2,Pos,3,31.38,2,2,3,H2N3,M,18-Jul-12,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2012,Pos_2012_Anasplatyrhynchos
UCD.12.02885.VB.H2,Pos,4,29.43,3,2,3,H2N3,M,20-Jul-12,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2012,Pos_2012_Anasplatyrhynchos
UCD.12.02904.VB.H3,Pos,2,39.01,9,3,8,H3N8,M,20-Jul-12,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2012,Pos_2012_Anasplatyrhynchos
UCD.12.02924.VB.H3,Pos,2,39.45,8,3,8,H3N8,F,23-Jul-12,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2012,Pos_2012_Anasplatyrhynchos
UCD.12.02945.VB.H3,Pos,2,36.68,10,3,8,H3N8,F,23-Jul-12,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2012,Pos_2012_Anasplatyrhynchos
UCD.13.01343,Neg,0,NA,NA,neg,neg,neg,F,18-Jul-13,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2013,Neg_2013_Anasplatyrhynchos
UCD.13.01344,Neg,0,NA,NA,neg,neg,neg,M,18-Jul-13,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2013,Neg_2013_Anasplatyrhynchos
UCD.13.01345,Neg,0,NA,NA,neg,neg,neg,F,18-Jul-13,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2013,Neg_2013_Anasplatyrhynchos
UCD.13.01346,Neg,0,NA,NA,neg,neg,neg,F,18-Jul-13,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2013,Neg_2013_Anasplatyrhynchos
UCD.13.01347,Neg,0,NA,NA,neg,neg,neg,M,18-Jul-13,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2013,Neg_2013_Anasplatyrhynchos
UCD.13.01349.VB.H4,Pos,2,36.77,20,4,6,H4N6,F,22-Jul-13,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2013,Pos_2013_Anasplatyrhynchos
UCD.13.01351,Neg,0,NA,NA,neg,neg,neg,F,22-Jul-13,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2013,Neg_2013_Anasplatyrhynchos
UCD.13.01352,Neg,0,NA,NA,neg,neg,neg,F,22-Jul-13,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2013,Neg_2013_Anasplatyrhynchos
UCD.13.01354,Neg,0,NA,NA,neg,neg,neg,F,22-Jul-13,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2013,Neg_2013_Anasplatyrhynchos
UCD.13.01357.VB.H5,Pos,3,33.32,27,5,5,H5N5,F,22-Jul-13,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2013,Pos_2013_Anasplatyrhynchos
UCD.13.01358.PA.H4,Pos,1,40.14,21,4,6,H4N6,M,22-Jul-13,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2013,Pos_2013_Anasplatyrhynchos
UCD.13.01369.VB.H4,Pos,3,33.28,21,4,6,H4N6,F,22-Jul-13,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2013,Pos_2013_Anasplatyrhynchos
UCD.13.01370.VA.H5,Pos,4,24.78,28,5,5,H5N5,F,22-Jul-13,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2013,Pos_2013_Anasplatyrhynchos
